log(MSE-NMF-components),comp
5.012652302,45
5.927975117,45
4.773170912,45
4.333813277,45
4.040157552,45
6.43477246,45
6.697323106,45
2.063698998,45
7.086747133,45
5.873170564,45
4.892542037,45
6.48402866,45
4.208717611,45
3.203663039,45
3.533937357,45
4.939472341,45
3.907535719,45
5.935137984,45
5.321402719,45
6.663943519,45
5.103776653,45
5.758060309,45
2.25107012,45
4.729667824,45
5.725451713,45
4.971279399,45
1.689991307,45
0.702487578,45
4.183272195,45
5.883457243,45
5.230264294,45
5.849060684,45
5.659384385,45
6.770181215,45
4.349986106,45
6.745524358,45
3.803554706,45
5.135045896,45
5.072780569,45
7.463792441,45
5.970236679,45
4.185096789,45
3.128123662,45
4.95432595,45
4.632395822,45
2.962913509,45
7.035887906,45
4.692205646,45
7.24962464,45
4.666407126,45
2.255318426,45
4.013635141,45
4.653712546,45
1.878747746,45
5.155478089,45
2.883834083,45
3.997609774,45
6.804420062,45
2.686572832,45
0.17002396,45
5.959669382,45
6.364793827,45
5.415927047,45
3.343752241,45
6.554271888,45
5.852284558,45
-0.151106105,45
4.789674544,45
4.820644019,45
6.935999421,45
4.792162089,45
5.947156047,45
4.638876248,45
6.279744357,45
4.710716521,45
3.025637227,45
3.868961822,45
3.101645005,45
5.498084583,45
4.048812634,45
6.607636716,45
5.755317485,45
4.485425675,45
5.766727472,45
5.948702966,45
5.077153114,45
2.480386204,45
6.011795669,45
6.176016389,45
5.042442855,45
5.914671847,45
5.263482699,45
7.382992695,45
3.371232206,45
4.451101671,45
2.693159198,45
