log(MSE-PCA-components),comp,log(MSE-PCA-50-components),log(MSE-PCA-55-components),log(MSE-PCA-60-components)
6.197167524,40,,,
2.863025387,40,,,
5.297942006,40,,,
6.208501509,40,,,
5.15628911,40,,,
7.388422843,40,,,
3.312255987,40,,,
4.166835776,40,,,
1.132584706,40,,,
3.322104676,40,,,
8.932817681,40,,,
4.885217521,40,,,
5.129030302,40,,,
7.605924807,40,,,
3.887526174,40,,,
6.19585971,40,,,
5.939783404,40,,,
7.44597115,40,,,
5.161724565,40,,,
7.775230966,40,,,
4.08019334,40,,,
6.749619859,40,,,
9.210709443,40,,,
4.253608663,40,,,
7.43950349,40,,,
3.298778048,40,,,
5.056133934,40,,,
4.876019795,40,,,
6.10945108,40,,,
3.315363844,40,,,
7.407247275,40,,,
1.944710525,40,,,
6.984267272,40,,,
6.064840595,40,,,
4.933067929,40,,,
7.341774924,40,,,
4.316397227,40,,,
6.422345124,40,,,
8.413948295,40,,,
4.522832761,40,,,
5.818814107,40,,,
7.547586641,40,,,
6.358480129,40,,,
6.74098688,40,,,
6.041350745,40,,,
4.127401132,40,,,
3.532459763,40,,,
4.561516542,40,,,
7.242113619,40,,,
5.701595229,40,,,
1.743993027,40,,,
7.014657597,40,,,
4.84515273,40,,,
5.220642237,40,,,
5.080530726,40,,,
8.007863138,40,,,
7.486102064,40,,,
5.555024249,40,,,
4.507707545,40,,,
6.824784246,40,,,
5.088175719,40,,,
6.702975366,40,,,
7.646323474,40,,,
3.944777782,40,,,
6.209722802,40,,,
5.304316866,40,,,
3.531385969,40,,,
7.786056908,40,,,
3.088480553,40,,,
4.563259775,40,,,
6.951494985,40,,,
6.383238307,40,,,
4.576696738,40,,,
3.385123451,40,,,
6.474307942,40,,,
5.222181418,40,,,
5.606181108,40,,,
4.987098126,40,,,
6.110970138,40,,,
2.074445179,40,,,
3.779701818,40,,,
7.196870288,40,,,
4.916645836,40,,,
4.620572805,40,,,
7.336556683,40,,,
5.8994059,40,,,
6.543268179,40,,,
3.765611517,40,,,
7.077349743,40,,,
6.349864534,40,,,
6.264573748,40,,,
8.215509751,40,,,
5.946969573,40,,,
6.744519037,40,,,
7.463426337,40,,,
2.723565405,40,,,
4.397403672,40,,,
7.361676817,40,,,
7.130429836,40,,,
4.85088878,40,,,
7.254078605,40,,,
5.635687888,40,,,
7.788905769,40,,,
5.689301812,40,,,
4.863928879,40,,,
6.241042714,40,,,
4.485325223,40,,,
9.009428861,40,,,
8.881927599,40,,,
6.895435191,40,,,
4.685528443,40,,,
7.848507497,40,,,
7.112229172,40,,,
7.621162664,40,,,
6.178452906,40,,,
5.021382692,40,,,
5.783184061,40,,,
2.574961651,40,,,
4.186010275,40,,,
6.468532139,40,,,
3.772674292,40,,,
2.247410149,40,,,
2.478066445,40,,,
6.026240481,40,,,
4.477223408,40,,,
7.689629049,40,,,
5.866929432,40,,,
4.607300027,40,,,
6.582334261,40,,,
5.940567862,40,,,
4.368650794,40,,,
5.750988297,40,,,
6.571569372,40,,,
6.287302055,40,,,
8.029823166,40,,,
6.594751601,40,,,
6.472994642,40,,,
6.160800273,40,,,
7.155956099,40,,,
7.273604317,40,,,
7.060932834,40,,,
7.039615281,40,,,
5.729462674,40,,,
5.861459166,40,,,
4.239590574,40,,,
5.407997389,40,,,
5.016164414,45,,,
2.766890527,45,,,
6.222009534,45,,,
5.320649004,45,,,
4.445199814,45,,,
5.636170768,45,,,
0.103686752,45,,,
