log(MSE-ICA-components),comp
4.439189605,45
8.553791189,45
8.098206913,45
5.08559666,45
3.909910179,45
4.194430419,45
8.213543777,45
5.709026877,45
4.701345581,45
5.721021584,45
6.131969979,45
4.312055701,45
7.130641546,45
4.134205157,45
5.756344995,45
6.830581869,45
7.682254059,45
7.802371754,45
4.415692162,45
6.659950165,45
8.952963295,45
6.731893659,45
4.987064486,45
7.213084789,45
6.747468318,45
6.583823762,45
7.466328549,45
6.256421671,45
8.898007357,45
7.309912003,45
5.165138521,45
6.622258419,45
5.157203853,45
5.972376356,45
7.513407581,45
8.782637111,45
5.634736196,45
5.584049774,45
5.573925325,45
2.312664435,45
4.755864189,45
3.329224611,45
5.582384036,45
5.938969061,45
7.023383475,45
5.081231006,45
6.783921619,45
6.7503938,45
8.001029774,45
5.895499856,45
4.986957308,45
3.532719336,45
4.891563128,45
4.301663075,45
6.392943883,45
7.519232118,45
4.637424676,45
4.602984725,45
5.018954072,45
6.94939342,45
6.787721855,45
5.797352286,45
6.566075614,45
6.031183761,45
5.731165745,45
8.604821738,45
4.026096369,45
3.330369593,45
6.727622396,45
7.918447125,45
3.996912254,45
2.95933965,45
2.149652848,45
5.476747683,45
5.368967535,45
7.366992106,45
5.656277526,45
5.601452956,45
6.979263858,45
7.196323529,45
7.385169602,45
4.247734847,45
6.627756828,45
7.236092227,45
-0.116294505,45
3.408574684,45
6.418264268,45
6.557244551,45
5.448757645,45
2.744824954,45
6.391593074,45
8.587862926,45
5.657081633,45
7.847724592,45
6.631938288,45
3.475418735,45
6.890973774,45
1.953936671,45
4.478294538,45
7.153862959,45
5.771516083,45
5.61303939,45
2.078701216,45
4.114693764,45
8.062385057,45
5.567544728,45
5.591336448,45
2.907103823,45
6.980171747,45
5.133943223,45
2.849818098,45
5.574654563,45
7.808551534,45
7.721216172,45
1.231552228,45
7.251052426,45
5.609123186,45
5.636899465,45
6.688993118,45
4.162470087,45
1.831680179,45
5.00338526,45
6.389486353,45
8.355926077,45
8.341529066,45
4.162172374,45
5.856853427,45
6.661657703,45
4.489240709,45
6.115316842,45
5.279981883,45
5.181216157,45
6.529783869,45
8.262601123,45
5.666329376,45
6.720083479,45
5.885631491,45
4.078005184,45
4.638173314,45
6.269666332,45
6.631717529,45
7.482579039,45
7.142875203,45
4.270993074,45
7.529498301,45
6.332408468,45
4.020326848,45
6.76230337,45
5.910188216,45
6.666515141,45
3.681489852,45
3.942464354,45
6.968071662,45
6.880619523,45
2.152846409,45
2.944031728,45
6.883982298,45
4.930581303,45
5.364830023,45
5.491349424,45
6.976235653,45
4.992852379,45
4.011467803,45
4.684898983,45
4.959794628,45
7.111773038,45
7.297333865,45
6.401502492,45
6.777551474,45
4.702951453,45
5.106681232,45
7.300228829,45
6.04578386,45
5.679341728,45
2.737726326,45
6.136505737,45
4.155502082,45
3.312434427,45
6.709537531,45
6.305007141,45
6.657393903,45
6.205115462,45
5.068855738,45
7.678690962,45
9.060326593,45
5.298279371,45
4.512509113,45
5.308736908,45
4.854133168,45
3.778293491,45
4.648872939,45
7.541281782,45
5.842081999,45
6.479760853,45
4.723542376,45
5.808316416,45
4.853595806,45
7.494868593,45
5.952976448,45
4.272062857,45
6.257988965,45
5.672954839,45
7.71226549,45
7.848043033,45
2.661263339,45
6.171001093,45
5.758128861,45
6.534477353,45
5.174356209,45
4.471818395,45
5.519405951,45
9.098188281,45
5.230188587,45
5.506177854,45
6.359840862,45
1.61735328,45
5.402098411,45
6.13075445,45
6.844230859,45
6.447190919,45
4.773555359,45
4.798773285,45
7.078295738,45
5.775866112,45
7.290202929,45
7.092061483,45
4.335329111,45
5.301118159,45
4.337776511,45
6.199147522,45
8.709135906,45
5.534044377,45
4.562572782,45
7.250475623,45
7.37808055,45
6.363654202,45
8.198906683,45
6.074494825,45
7.697871488,45
5.454702617,45
5.702919727,45
2.978424076,45
8.066308132,45
7.365700721,45
5.601333107,45
5.584475604,45
7.061544003,45
4.559491114,45
5.392354083,45
6.496706036,45
5.823154462,45
5.098587966,45
5.699959819,45
5.959148809,45
6.957304737,45
4.666857691,45
3.774091251,45
7.094993964,45
5.96048739,45
8.330706347,45
6.891090843,45
6.719123793,45
7.155466209,45
8.00800892,45
4.142251749,45
7.790774726,45
7.208006888,45
2.904035476,45
7.205842593,45
3.81080598,45
6.399854527,45
3.987668382,45
6.262215196,45
2.841002609,45
4.022789021,45
7.452623343,45
6.094653108,45
-0.542464071,45
5.688708958,45
4.655467219,45
5.591159766,45
6.662484582,45
4.831789136,45
6.95295839,45
6.574261622,45
2.146857446,45
5.823619516,45
3.684050998,45
5.086596668,45
4.067146461,45
6.972353341,45
6.240868918,45
6.557923843,45
7.342235167,45
7.767800972,45
6.929559814,45
5.683763427,45
8.455260199,45
5.42158656,45
6.922929348,45
6.002144163,45
5.824166021,45
7.956725613,45
1.558080368,45
5.360992748,45
7.21746262,45
5.667702807,45
7.805018617,45
3.798154721,45
4.032767418,45
5.879475394,45
7.293100105,45
5.307368914,45
5.705693083,45
5.595666328,45
4.610162282,45
6.606397766,45
6.706967744,45
2.180381941,45
6.027603817,45
5.821434796,45
5.07825116,45
7.537104086,45
7.230345606,45
6.638394875,45
6.858284824,45
7.238871159,45
3.234768157,45
4.966646755,45
5.526005993,45
3.08768544,45
8.421993744,45
3.232020258,45
8.50699361,45
8.092372545,45
5.027224229,45
5.007124296,45
5.109682435,45
7.101183182,45
5.606382966,45
7.653305967,45
5.999955466,45
5.065974642,45
5.77840841,45
6.108814716,45
6.651531222,45
5.702297914,45
6.732012432,45
6.224725507,45
6.13374407,45
2.484413161,45
4.227624884,45
6.473126099,45
4.32337165,45
5.653611169,45
1.32703566,45
6.969422828,45
4.320854025,45
4.801248987,45
7.354332144,45
2.896548558,45
4.721591211,45
5.2067082,45
6.556897602,45
3.010579694,45
4.490514522,45
4.415416231,45
6.591837965,45
4.157462292,45
2.043858005,45
4.922849136,45
6.496546174,45
6.178524508,45
5.625213641,45
4.143892777,45
6.07352985,45
6.235356473,45
6.596883021,45
6.050376852,45
5.854727688,45
6.813473993,45
8.394232075,45
4.344092325,45
5.416118306,45
5.282394996,45
5.92740703,45
4.834536402,45
5.915209214,45
3.212703863,45
5.464787156,45
4.894694966,45
6.109774618,45
4.69333459,45
6.74623661,45
4.163275108,45
6.407333492,45
6.789259247,45
5.580385278,45
8.258573908,45
5.940996854,45
8.854025131,45
6.540049389,45
7.871560005,45
3.115191015,45
3.037032913,45
4.853658053,45
4.505631719,45
6.25066854,45
6.600390886,45
8.007335498,45
5.031234452,45
8.271400216,45
2.255795033,45
4.678490473,45
6.227540471,45
7.543950719,45
2.225906117,45
0.453031883,45
6.836013845,45
5.727111635,45
5.082984249,45
6.243840754,45
6.407385916,45
7.881096658,45
4.35201691,45
6.985778855,45
8.62252138,45
4.849690192,45
5.101141212,45
7.643726177,45
5.952091961,45
4.844406212,45
4.557326649,45
4.817996537,45
5.023110157,45
3.382481353,45
7.221333954,45
4.532280813,45
7.63210392,45
6.581933349,45
1.90909029,45
4.037614828,45
5.495542907,45
1.646507759,45
5.525762262,45
