log(MSE-Trunc-SVD-components),comp
5.661062882,45
7.381578775,45
5.956680754,45
3.480898234,45
3.113132071,45
6.839377039,45
8.202397822,45
5.296956272,45
7.074713436,45
7.643368354,45
5.168327408,45
4.652207105,45
5.347194865,45
5.788266131,45
5.355932236,45
5.475742745,45
4.666658262,45
4.565638316,45
6.444875895,45
3.988430621,45
5.791366909,45
4.958374285,45
8.29549386,45
7.933344155,45
8.111125534,45
5.39404652,45
4.889654555,45
7.224903971,45
3.713257165,45
3.960713765,45
3.46124739,45
4.203984315,45
6.165700294,45
4.805765278,45
5.040265697,45
5.817256744,45
5.512046317,45
4.202557756,45
7.012372131,45
4.501700311,45
3.267917074,45
6.778232981,45
4.884803674,45
2.409724117,45
7.532030556,45
5.606302564,45
8.072129048,45
5.244364626,45
5.64117254,45
5.649642017,45
3.40204846,45
8.430071145,45
3.208748421,45
4.47529543,45
8.552094492,45
8.203079999,45
5.120811436,45
3.935207359,45
4.336945613,45
8.228750617,45
5.754787069,45
4.758897061,45
5.83404447,45
6.141060267,45
4.297345609,45
7.13385874,45
4.146980047,45
5.765338705,45
6.810762989,45
7.680590023,45
7.835431752,45
4.475039116,45
6.634721137,45
8.991195977,45
6.758433862,45
4.956867874,45
7.231546403,45
6.758085041,45
6.587625213,45
7.476810843,45
6.26075168,45
8.90304345,45
7.324528895,45
5.172753071,45
6.624831136,45
5.150690781,45
5.990173202,45
7.525444421,45
8.933035455,45
5.657231486,45
5.542745899,45
5.619638742,45
2.332058265,45
4.76612168,45
3.340641803,45
5.573494572,45
5.95531017,45
7.038452826,45
5.091540198,45
6.796194705,45
6.758659735,45
8.006062065,45
5.891644507,45
5.039769624,45
3.614123302,45
4.941658008,45
4.611891323,45
6.407928692,45
7.547275536,45
4.650580126,45
4.629545365,45
5.012327993,45
6.942268774,45
6.782541044,45
5.838705422,45
6.608560678,45
5.602524645,45
5.737126678,45
8.591559554,45
4.099393896,45
3.353480021,45
6.776023536,45
7.83914547,45
4.030454431,45
2.986289176,45
2.204887269,45
5.475242423,45
5.361719893,45
7.376799557,45
5.69815295,45
5.62111849,45
6.982356507,45
7.215108554,45
7.365021354,45
4.233388642,45
6.713815144,45
7.222717448,45
-0.101863896,45
3.431754963,45
6.427541599,45
6.578362141,45
5.474728291,45
2.825641523,45
6.393819686,45
8.52040603,45
5.681247437,45
7.811489207,45
6.723296149,45
3.543684057,45
6.913082419,45
1.962919898,45
4.503691591,45
7.14501406,45
5.787328653,45
5.617409876,45
2.127625894,45
4.089841744,45
8.056835004,45
5.583727286,45
5.579423855,45
2.800473694,45
7.017342015,45
5.138412976,45
2.928359336,45
5.576590633,45
7.780003306,45
7.640799752,45
